initITIstatic,initITIdynamic,participant,date,expName,psychopyVersion,OS,frameRate,inst1.keys,inst1.rt,startPracResp.keys,startPracResp.rt,choice1.keys,choice1.rt,outcome,extraITI,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,riskyGain,riskyLoss,alternative,isi,iti,loc,postPractResp.keys,postPractResp.rt,realloc,realChoice.keys,realChoice.rt,outcomes,choices,actualITI,init ITI,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,staticRDM.ran,riskyoption1,riskyoption2,safeoption,ischecktrial,dynamicChoiceSetName,dynamicChoiceSetPath,bestRho,bestMu,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp.keys,key_resp.rt,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,dynamicRDM.ran,choiceP,easy0difficult1,stopBreak.keys,stopBreak.rt,movealong.keys,movealong.rt,startPractice.keys,startPractice.rt,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,trialFSPractice.ran,digitSpanForward,digits,digitsReverse,digitSpanReverse,digitsReverseCorrAnswer,startFSreal.keys,startFSreal.rt,digitsForTrial,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,trialsFS.ran,trialNumber,moveToBS.keys,moveToBS.rt,startBSprac.keys,startBSprac.rt,textboxPractice_2.text,mousePractice_2.x,mousePractice_2.y,mousePractice_2.leftButton,mousePractice_2.midButton,mousePractice_2.rightButton,mousePractice_2.clicked_name,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,trialsPracticeBS.ran,startBSreal.keys,startBSreal.rt,digitLoopBS.thisRepN,digitLoopBS.thisTrialN,digitLoopBS.thisN,digitLoopBS.thisIndex,digitLoopBS.ran,textboxBS.text,mouseBS.x,mouseBS.y,mouseBS.leftButton,mouseBS.midButton,mouseBS.rightButton,mouseBS.clicked_name,trialsBS.thisRepN,trialsBS.thisTrialN,trialsBS.thisN,trialsBS.thisIndex,trialsBS.ran
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,3.435,,,,,,,,,,,,,,2,v,0.565,7.73,0,4.435,1,0,13,13,9,1,20.53,0,7.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,3.289,,,,,,,,,,,,,,2,v,0.711,5.66,0,4.789,1.5,0,14,14,14,1,12.68,0,5.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,3.422,,,,,,,,,,,,,,1,n,0.578,0,0,4.922,1.5,0,15,15,42,1,19.86,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,2.87,,,,,,,,,,,,,,2,v,1.13,7.34,0,3.87,1,0,16,16,7,1,21.32,0,7.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,2.921,,,,,,,,,,,,,,2,n,1.079,0,1,4.421,1.5,0,17,17,5,1,22.97,0,6.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,2.776,,,,,,,,,,,,,,2,n,1.224,10.35,1,4.276,1.5,0,18,18,40,1,10.35,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,3.115,,,,,,,,,,,,,,1,n,0.885,5.82,0,4.615,1.5,0,19,19,16,1,12.36,0,5.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,3.201,,,,,,,,,,,,,,2,v,0.799,4.64,0,4.201,1,0,20,20,6,1,14.72,0,4.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,3.161,,,,,,,,,,,,,,2,v,0.839,9.7,0,4.161,1,0,21,21,27,1,16.6,0,9.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5a348ea750833c0001ee9550,2022-09-08_14h08.22.145,CGTgamblingSpanTasks,2022.2.1,Win32,74.96251874,,,,,,,,3.263,,,,,,,,,,,,,,1,n,0.737,9.87,0,4.763,1.5,0,22,22,29,1,16.26,0,9.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
