riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,circleLeftReal.stopped,circleRightReal.stopped,lineLeftReal.stopped,orTextReal.stopped,lossTxtReal.stopped,gainTxtReal.stopped,safeTxtReal.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.562758526997641,8.56697374000214,return,17.026952532003634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
,,,,,,,,,,,,,,,,,,,,,,25.62320515600004,27.605794025999785,v,0.24478661100147292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
,,,,,,,,,,,,,,,,,,,,,,,,,,27.87486904099933,27.87486904099933,v,3.4877168530001654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
10.95,0.0,6.53,0,,,,,,,0,17,17,28,,,,,,,,,,,,,,,,,167.13065945400012,167.13065945400012,167.13065945400012,167.13065945400012,167.13065945400012,167.13065945400012,167.13065945400012,169.12005127500015,169.12005127500015,169.12005127500015,1,v,0.42662265700346325,171.12059262600087,173.12170836800215,173.12170836800215,173.12170836800215,173.12170836800215,173.12170836800215,173.12170836800215,10.95,1,174.1218477220027,175.12133922900102,174.1218477220027,174.1218477220027,174.1218477220027,174.1218477220027,174.1218477220027,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
12.36,0.0,5.82,0,,,,,,,0,18,18,16,,,,,,,,,,,,,,,,,175.12133922900102,175.12133922900102,175.12133922900102,175.12133922900102,175.12133922900102,175.12133922900102,175.12133922900102,177.10402281200368,177.10402281200368,177.10402281200368,2,n,0.5536276380007621,179.10681840300094,181.09786076300225,181.09786076300225,181.09786076300225,181.09786076300225,181.09786076300225,181.09786076300225,12.36,1,182.09336802100006,183.10830569999962,182.09336802100006,182.09336802100006,182.09336802100006,182.09336802100006,182.09336802100006,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
15.27,0.0,10.37,0,,,,,,,0,19,19,37,,,,,,,,,,,,,,,,,183.10830569999962,183.10830569999962,183.10830569999962,183.10830569999962,183.10830569999962,183.10830569999962,183.10830569999962,185.0911297019993,185.0911297019993,185.0911297019993,2,n,0.2793183859976125,187.0783495029973,189.09354552600416,189.09354552600416,189.09354552600416,189.09354552600416,189.09354552600416,189.09354552600416,0.0,1,190.09342353099782,191.0930567530013,190.09342353099782,190.09342353099782,190.09342353099782,190.09342353099782,190.09342353099782,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
17.94,0.0,9.03,0,,,,,,,0,20,20,19,,,,,,,,,,,,,,,,,191.0930567530013,191.0930567530013,191.0930567530013,191.0930567530013,191.0930567530013,191.0930567530013,191.0930567530013,193.07805137499963,193.07805137499963,193.07805137499963,1,n,0.3398970359994564,195.0787067220008,197.07001403100003,197.07001403100003,197.07001403100003,197.07001403100003,197.07001403100003,197.07001403100003,9.03,0,198.079820095998,199.08002043599845,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
6.79,0.0,9.92,1,,,,,,,0,21,21,49,,,,,,,,,,,,,,,,,199.08002043599845,199.08002043599845,199.08002043599845,199.08002043599845,199.08002043599845,199.08002043599845,199.08002043599845,201.0636517210005,201.0636517210005,201.0636517210005,1,n,0.47467535600299016,203.06481092800095,205.06499915599852,205.06499915599852,205.06499915599852,205.06499915599852,205.06499915599852,205.06499915599852,9.92,0,206.06526133899752,207.0654948119991,206.06526133899752,206.06526133899752,206.06526133899752,206.06526133899752,206.06526133899752,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
10.35,0.0,0.0,1,,,,,,,0,22,22,40,,,,,,,,,,,,,,,,,207.0654948119991,207.0654948119991,207.0654948119991,207.0654948119991,207.0654948119991,207.0654948119991,207.0654948119991,209.04982102200302,209.04982102200302,209.04982102200302,1,v,0.49669017199630616,211.05014795700117,213.05141318499955,213.05141318499955,213.05141318499955,213.05141318499955,213.05141318499955,213.05141318499955,10.35,1,214.05138523400092,215.05199877599807,214.05138523400092,214.05138523400092,214.05138523400092,214.05138523400092,214.05138523400092,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
0.0,0.0,7.55,1,,,,,,,0,23,23,45,,,,,,,,,,,,,,,,,215.05199877599807,215.05199877599807,215.05199877599807,215.05199877599807,215.05199877599807,215.05199877599807,215.05199877599807,217.03542360499705,217.03542360499705,217.03542360499705,1,n,0.20687059799820418,219.03649903900077,221.03681491399766,221.03681491399766,221.03681491399766,221.03681491399766,221.03681491399766,221.03681491399766,7.55,0,222.02355054699728,223.03813175699906,222.02355054699728,222.02355054699728,222.02355054699728,222.02355054699728,222.02355054699728,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
16.0,0.0,4.0,0,,,,,,,0,24,24,4,,,,,,,,,,,,,,,,,223.03813175699906,223.03813175699906,223.03813175699906,223.03813175699906,223.03813175699906,223.03813175699906,223.03813175699906,225.02101917399705,225.02101917399705,225.02101917399705,2,v,0.6688446279949858,227.02119777799817,229.02318400699733,229.02318400699733,229.02318400699733,229.02318400699733,229.02318400699733,229.02318400699733,4.0,0,230.02337309200084,231.01861076700152,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
13.04,0.0,5.48,0,,,,,,,0,25,25,12,,,,,,,,,,,,,,,,,231.01861076700152,231.01861076700152,231.01861076700152,231.01861076700152,231.01861076700152,231.01861076700152,231.01861076700152,233.00808595299895,233.00808595299895,233.00808595299895,1,n,0.5862438039985136,235.00833212800353,236.9998363900013,236.9998363900013,236.9998363900013,236.9998363900013,236.9998363900013,236.9998363900013,5.48,0,238.00970655900164,239.00970475099894,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
19.86,0.0,0.0,1,,,,,,,0,26,26,42,,,,,,,,,,,,,,,,,239.00970475099894,239.00970475099894,239.00970475099894,239.00970475099894,239.00970475099894,239.00970475099894,239.00970475099894,240.98336380300316,240.98336380300316,240.98336380300316,2,n,0.48225458500382956,242.99475464900024,244.98564842499763,244.98564842499763,244.98564842499763,244.98564842499763,244.98564842499763,244.98564842499763,0.0,1,245.99523420100013,246.99056721299712,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
28.21,0.0,3.89,0,,,,,,,0,27,27,1,,,,,,,,,,,,,,,,,246.99056721299712,246.99056721299712,246.99056721299712,246.99056721299712,246.99056721299712,246.99056721299712,246.99056721299712,248.9795968949984,248.9795968949984,248.9795968949984,2,n,0.510496864997549,250.98039970300306,252.98132422700291,252.98132422700291,252.98132422700291,252.98132422700291,252.98132422700291,252.98132422700291,28.21,1,253.98140018000413,254.98106468599872,253.98140018000413,253.98140018000413,253.98140018000413,253.98140018000413,253.98140018000413,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
18.77,0.0,8.61,0,,,,,,,0,28,28,15,,,,,,,,,,,,,,,,,254.98106468599872,254.98106468599872,254.98106468599872,254.98106468599872,254.98106468599872,254.98106468599872,254.98106468599872,256.9637195440009,256.9637195440009,256.9637195440009,1,v,0.5819134030025452,258.96658047800156,260.96600777399726,260.96600777399726,260.96600777399726,260.96600777399726,260.96600777399726,260.96600777399726,0.0,1,261.95296541199787,262.96797305600194,261.95296541199787,261.95296541199787,261.95296541199787,261.95296541199787,261.95296541199787,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
19.28,0.0,8.36,0,,,,,,,0,29,29,13,,,,,,,,,,,,,,,,,262.96797305600194,262.96797305600194,262.96797305600194,262.96797305600194,262.96797305600194,262.96797305600194,262.96797305600194,264.95075083900156,264.95075083900156,264.95075083900156,2,v,0.2915690669979085,266.93810693499836,268.95321523000166,268.95321523000166,268.95321523000166,268.95321523000166,268.95321523000166,268.95321523000166,8.36,0,269.9535781700033,270.9487069349998,269.9535781700033,269.9535781700033,269.9535781700033,269.9535781700033,269.9535781700033,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
10.39,0.0,6.81,0,,,,,,,0,30,30,34,,,,,,,,,,,,,,,,,270.9487069349998,270.9487069349998,270.9487069349998,270.9487069349998,270.9487069349998,270.9487069349998,270.9487069349998,272.93789243399806,272.93789243399806,272.93789243399806,2,n,0.29642246100411285,274.92419746700034,276.9211547149971,276.9211547149971,276.9211547149971,276.9211547149971,276.9211547149971,276.9211547149971,10.39,1,277.9228982229979,278.92312796499755,277.9228982229979,277.9228982229979,277.9228982229979,277.9228982229979,277.9228982229979,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
17.0,0.0,9.5,0,,,,,,,0,31,31,25,,,,,,,,,,,,,,,,,278.92312796499755,278.92312796499755,278.92312796499755,278.92312796499755,278.92312796499755,278.92312796499755,278.92312796499755,280.90652506399783,280.90652506399783,280.90652506399783,1,n,1.0480732549985987,282.9077608180014,284.90844351099804,284.90844351099804,284.90844351099804,284.90844351099804,284.90844351099804,284.90844351099804,9.5,0,285.8945504279982,286.890316953999,285.8945504279982,285.8945504279982,285.8945504279982,285.8945504279982,285.8945504279982,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
16.26,0.0,9.87,0,,,,,,,0,32,32,29,,,,,,,,,,,,,,,,,286.890316953999,286.890316953999,286.890316953999,286.890316953999,286.890316953999,286.890316953999,286.890316953999,288.89294585699827,288.89294585699827,288.89294585699827,1,v,0.27669514599983813,290.8760953700039,292.8778799979991,292.8778799979991,292.8778799979991,292.8778799979991,292.8778799979991,292.8778799979991,0.0,1,293.87804025699734,294.8781870620005,293.87804025699734,293.87804025699734,293.87804025699734,293.87804025699734,293.87804025699734,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
12.08,0.0,5.96,0,,,,,,,0,33,33,18,,,,,,,,,,,,,,,,,294.8781870620005,294.8781870620005,294.8781870620005,294.8781870620005,294.8781870620005,294.8781870620005,294.8781870620005,296.8517585340014,296.8517585340014,296.8517585340014,1,v,0.25439010400441475,298.86291686599725,300.86260509699787,300.86260509699787,300.86260509699787,300.86260509699787,300.86260509699787,300.86260509699787,0.0,1,301.84957785200095,302.8645594970003,301.84957785200095,301.84957785200095,301.84957785200095,301.84957785200095,301.84957785200095,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
