riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,noRespTxt.stopped,ocGamble.stopped,ocSafe.stopped,outcomeText.stopped,hideGamble.stopped,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,realChoice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,1,10.24,0.0,6.88,0,,,,,0,12,12,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.84726718899765,227.84726718899765,227.84726718899765,227.84726718899765,227.84726718899765,227.84726718899765,227.84726718899765,229.8305177900038,229.8305177900038,229.8305177900038,1,v,231.8314598750003,232.83179783200467,232.83179783200467,232.83179783200467,232.83179783200467,232.83179783200467,232.83179783200467,233.83174791100464,233.83174791100464,233.83174791100464,233.83174791100464,233.83174791100464,10.24,1,233.83174791100464,234.83205085300142,0.46858773099665996,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,1,10.95,0.0,6.53,0,,,,,0,13,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.83205085300142,234.83205085300142,234.83205085300142,234.83205085300142,234.83205085300142,234.83205085300142,234.83205085300142,236.81664849400113,236.81664849400113,236.81664849400113,1,v,238.81697585700022,239.81717817499884,239.81717817499884,239.81717817499884,239.81717817499884,239.81717817499884,239.81717817499884,,,,,,10.95,1,240.81818214800296,241.81820758100366,0.31511053100257413,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,1,16.11,6.99,6.99,1,,,,,0,14,14,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.81820758100366,241.81820758100366,241.81820758100366,241.81820758100366,241.81820758100366,241.81820758100366,241.81820758100366,243.80198937800014,243.80198937800014,243.80198937800014,1,n,245.8031898640038,246.80327066600148,246.80327066600148,246.80327066600148,246.80327066600148,246.80327066600148,246.80327066600148,247.80343556799926,247.80343556799926,247.80343556799926,247.80343556799926,247.80343556799926,6.99,0,247.80343556799926,248.80361752599856,0.46518543999263784,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,22.97,0.0,6.51,0,,,,,0,15,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.80361752599856,248.80361752599856,248.80361752599856,248.80361752599856,248.80361752599856,248.80361752599856,248.80361752599856,250.78810158499982,250.78810158499982,250.78810158499982,2,n,252.78853018300288,253.7886654610047,253.7886654610047,253.7886654610047,253.7886654610047,253.7886654610047,253.7886654610047,254.7887872690044,254.7887872690044,254.7887872690044,254.7887872690044,254.7887872690044,0.0,1,254.7887872690044,255.78978699399886,0.2791382369978237,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,17.94,0.0,9.03,0,,,,,0,16,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.78978699399886,255.78978699399886,255.78978699399886,255.78978699399886,255.78978699399886,255.78978699399886,255.78978699399886,257.7733025600028,257.7733025600028,257.7733025600028,2,n,259.75953684499837,260.77491046999785,260.77491046999785,260.77491046999785,260.77491046999785,260.77491046999785,260.77491046999785,261.77489856700413,261.77489856700413,261.77489856700413,261.77489856700413,261.77489856700413,17.94,1,261.77489856700413,262.76995567900303,0.2622390469914535,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,17.0,0.0,9.5,0,,,,,0,17,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.76995567900303,262.76995567900303,262.76995567900303,262.76995567900303,262.76995567900303,262.76995567900303,262.76995567900303,264.7482794660027,264.7482794660027,264.7482794660027,2,n,266.75984856400464,267.76037301900215,267.76037301900215,267.76037301900215,267.76037301900215,267.76037301900215,267.76037301900215,268.75937108499784,268.75937108499784,268.75937108499784,268.75937108499784,268.75937108499784,17.0,1,268.75937108499784,269.75561738599936,0.23959702199499588,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,1,12.08,0.0,5.96,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.75561738599936,269.75561738599936,269.75561738599936,269.75561738599936,269.75561738599936,269.75561738599936,269.75561738599936,271.7345924530018,271.7345924530018,271.7345924530018,1,v,273.73122996799793,274.72789141700196,274.72789141700196,274.72789141700196,274.72789141700196,274.72789141700196,274.72789141700196,275.72969129800185,275.72969129800185,275.72969129800185,275.72969129800185,275.72969129800185,0.0,1,275.72969129800185,276.7253077310015,0.2213073179955245,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,19.86,0.0,8.07,0,,,,,0,19,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.7253077310015,276.7253077310015,276.7253077310015,276.7253077310015,276.7253077310015,276.7253077310015,276.7253077310015,278.71288359900063,278.71288359900063,278.71288359900063,2,n,280.71477016399876,281.71565667899995,281.71565667899995,281.71565667899995,281.71565667899995,281.71565667899995,281.71565667899995,282.7151565250024,282.7151565250024,282.7151565250024,282.7151565250024,282.7151565250024,19.86,1,282.7151565250024,283.7140921879982,0.38686199699441204,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,18.77,0.0,8.61,0,,,,,0,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.7140921879982,283.7140921879982,283.7140921879982,283.7140921879982,283.7140921879982,283.7140921879982,283.7140921879982,285.70035168100003,285.70035168100003,285.70035168100003,2,n,287.68612000600115,288.68268926100427,288.68268926100427,288.68268926100427,288.68268926100427,288.68268926100427,288.68268926100427,289.6695394220005,289.6695394220005,289.6695394220005,289.6695394220005,289.6695394220005,18.77,1,289.6695394220005,290.68478394200065,0.3275233599997591,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,17.59,0.0,9.2,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.68478394200065,290.68478394200065,290.68478394200065,290.68478394200065,290.68478394200065,290.68478394200065,290.68478394200065,292.6687771709985,292.6687771709985,292.6687771709985,2,n,294.65460663400154,295.6537807959976,295.6537807959976,295.6537807959976,295.6537807959976,295.6537807959976,295.6537807959976,296.65312537400314,296.65312537400314,296.65312537400314,296.65312537400314,296.65312537400314,17.59,1,296.65312537400314,297.6543108140031,0.29439618199830875,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,10.55,0.0,6.73,0,,,,,0,22,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.6543108140031,297.6543108140031,297.6543108140031,297.6543108140031,297.6543108140031,297.6543108140031,297.6543108140031,299.6357189170012,299.6357189170012,299.6357189170012,2,n,301.639079665998,302.6387384960035,302.6387384960035,302.6387384960035,302.6387384960035,302.6387384960035,302.6387384960035,,,,,,0.0,1,303.6375171260006,304.6341601430031,0.43154497299110517,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,15.96,0.0,10.02,0,,,,,0,23,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.6341601430031,304.6341601430031,304.6341601430031,304.6341601430031,304.6341601430031,304.6341601430031,304.6341601430031,306.6231903750013,306.6231903750013,306.6231903750013,2,n,308.6226100940039,309.61398847400415,309.61398847400415,309.61398847400415,309.61398847400415,309.61398847400415,309.61398847400415,,,,,,0.0,1,310.6245279799987,311.62555778700334,1.892893213997013,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,1,10.12,0.0,6.94,0,,,,,0,24,24,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.62555778700334,311.62555778700334,311.62555778700334,311.62555778700334,311.62555778700334,311.62555778700334,311.62555778700334,313.60695678600314,313.60695678600314,313.60695678600314,1,v,315.61017871100194,316.60978009000246,316.60978009000246,316.60978009000246,316.60978009000246,316.60978009000246,316.60978009000246,317.5958493680009,317.5958493680009,317.5958493680009,317.5958493680009,317.5958493680009,10.12,1,317.5958493680009,318.5924149850034,0.26923673399869585,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
