initITIstatic,initITIdynamic,participant,date,expName,psychopyVersion,OS,frameRate,inst1.keys,inst1.rt,startPracResp.keys,startPracResp.rt,choice1.keys,outcome,extraITI,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,riskyGain,riskyLoss,alternative,isi,iti,loc,choice1.rt,postPractResp.keys,postPractResp.rt,realloc,realChoice.keys,realChoice.rt,outcomes,choices,actualITI,init ITI,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,staticRDM.ran,riskyoption1,riskyoption2,safeoption,ischecktrial,dynamicChoiceSetName,dynamicChoiceSetPath,bestRho,bestMu,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp.keys,key_resp.rt,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,dynamicRDM.ran,choiceP,easy0difficult1,stopBreak.keys,stopBreak.rt,movealong.keys,movealong.rt,startPractice.keys,startPractice.rt,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,trialFSPractice.ran,digitSpanForward,digits,digitsReverse,digitSpanReverse,digitsReverseCorrAnswer,startFSreal.keys,startFSreal.rt,digitsForTrial,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,trialsFS.ran,trialNumber,moveToBS.keys,moveToBS.rt,startBSprac.keys,startBSprac.rt,textboxPractice_2.text,mousePractice_2.x,mousePractice_2.y,mousePractice_2.leftButton,mousePractice_2.midButton,mousePractice_2.rightButton,mousePractice_2.clicked_name,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,trialsPracticeBS.ran,startBSreal.keys,startBSreal.rt,digitLoopBS.thisRepN,digitLoopBS.thisTrialN,digitLoopBS.thisN,digitLoopBS.thisIndex,digitLoopBS.ran,textboxBS.text,mouseBS.x,mouseBS.y,mouseBS.leftButton,mouseBS.midButton,mouseBS.rightButton,mouseBS.clicked_name,trialsBS.thisRepN,trialsBS.thisTrialN,trialsBS.thisN,trialsBS.thisIndex,trialsBS.ran
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.9803,,,,,,,,,,,,,,,2,n,1.0197,0,1,4.4803,1.5,0,11,11,40,1,10.35,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.7637,,,,,,,,,,,,,,,1,n,1.2363,6.4,0,4.2637,1.5,0,12,12,26,1,11.2,0,6.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.9044,,,,,,,,,,,,,,,2,n,1.0956,0,1,3.9044,1,0,13,13,28,1,10.95,0,6.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.8496,,,,,,,,,,,,,,,1,v,1.1504,22.97,1,4.3496,1.5,0,14,14,5,1,22.97,0,6.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,3.0143,,,,,,,,,,,,,,,1,n,0.9857,9.2,0,4.5143,1.5,0,15,15,21,1,17.59,0,9.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.7491,,,,,,,,,,,,,,,2,v,1.2509,5.82,0,4.2491,1.5,0,16,16,16,1,12.36,0,5.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,3.0239,,,,,,,,,,,,,,,2,n,0.9761,7.73,1,4.5239,1.5,0,17,17,44,1,13.1,7.73,4.68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.8086,,,,,,,,,,,,,,,1,v,1.1914,6.99,1,3.8086,1,0,18,18,43,1,16.11,6.99,6.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.6896,,,,,,,,,,,,,,,1,v,1.3104,0,1,3.6896,1,0,19,19,14,1,12.68,0,5.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.9435,,,,,,,,,,,,,,,2,n,1.0565,0,1,3.9435,1,0,20,20,2,1,17.73,0,3.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.6297,,,,,,,,,,,,,,,2,v,1.3703,6.08,0,4.1297,1.5,0,21,21,20,1,11.84,0,6.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.9015,,,,,,,,,,,,,,,2,n,1.0985,20.53,1,4.4015,1.5,0,22,22,9,1,20.53,0,7.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.8446,,,,,,,,,,,,,,,1,n,1.1554,5.48,0,3.8446,1,0,23,23,12,1,13.04,0,5.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.731,,,,,,,,,,,,,,,1,v,1.269,0,1,4.231,1.5,0,24,24,39,1,15.09,0,10.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.8714,,,,,,,,,,,,,,,2,n,1.1286,0,1,4.3714,1.5,0,25,25,17,1,18.33,0,8.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,3.1074,,,,,,,,,,,,,,,1,v,0.8926,19.86,1,4.1074,1,0,26,26,42,1,19.86,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.9767,,,,,,,,,,,,,,,2,n,1.0233,14.26,1,3.9767,1,0,27,27,41,1,14.26,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.5812,,,,,,,,,,,,,,,1,n,1.4188,6.19,0,3.5812,1,0,28,28,22,1,11.62,0,6.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.8997,,,,,,,,,,,,,,,1,n,1.1003,10.15,0,4.3997,1.5,0,29,29,33,1,15.7,0,10.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.2937,,,,,,,,,,,,,,,2,v,1.7063,8.07,0,3.7937,1.5,0,30,30,11,1,19.86,0,8.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,1.83,,,,,,,,,,,,,,,1,n,2.17,9.36,0,3.33,1.5,0,31,31,23,1,17.28,0,9.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
